,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,,167,MNMF1,9.73,0.04,0.41,9.5,9.78,9.5,"25,300.00",9.69,,167,MNMF1,-,9.5,9.78,9.5,9.73,9.73,0,0,9.71,"25,300.00",9.69,"245,623.00",16,0.04,0.28,0.41,2.95,0.22,9.83,9.59,10.4,8.53,
,,168,MPFL,627,-6.3,-0.99,637,637,621.1,"7,179.00",633.3,,168,MPFL,-,637,637,621.1,627,627,0,0,624.22,"7,179.00",633.3,"4,481,241.20",53,-6.3,15.9,-0.99,2.56,0.44,633.01,621.44,744,491,
,,169,MSHL,591,-3,-0.51,587,595,587,452,594,,169,MSHL,-,587,595,587,591,591,0,0,593.45,452,594,"268,240.80",21,-3,8,-0.51,1.36,-0.42,699.83,754.51,955,576,
,,170,MSLB,"1,235.00",-10,-0.8,"1,219.00","1,260.00","1,219.00",551,"1,245.00",,170,MSLB,-,"1,219.00","1,260.00","1,219.00","1,235.00","1,235.00",0,0,"1,230.15",551,"1,245.00","677,810.00",24,-10,41,-0.8,3.36,0.39,"1,270.09","1,302.12","1,634.00","1,089.90",
,,171,NABBC,807.1,-3.9,-0.48,820,850,804.3,"21,725.00",811,,171,NABBC,-,820,850,804.3,807.1,807.1,0,0,815.76,"21,725.00",811,"17,722,402.60",78,-3.9,45.7,-0.48,5.68,-1.07,"1,044.21","1,113.89","1,835.00",662,
,,172,NABIL,551.5,1.6,0.29,549.9,555,549.9,"30,252.00",549.9,,172,NABIL,-,549.9,555,549.9,551.5,551.5,0,0,550.97,"30,252.00",549.9,"16,667,985.80",381,1.6,5.1,0.29,0.93,0.1,531.18,520.42,568,471,
,,173,NADEP,710.1,-4.9,-0.69,702.7,728,702.7,233,715,,173,NADEP,-,702.7,728,702.7,710.1,710.1,0,0,707.39,233,715,"164,823.00",13,-4.9,25.3,-0.69,3.6,0.38,756.52,768.46,883,696,
,,174,NBF2,9.8,-0.08,-0.81,9.8,9.8,9.8,300,9.88,,174,NBF2,-,9.8,9.8,9.8,9.8,9.8,0,0,9.8,300,9.88,"2,940.00",2,-0.08,0,-0.81,0,0,9.97,9.79,10.95,8.89,
,,175,NBF3,9.75,0.03,0.31,9.58,9.75,9.58,"7,300.00",9.72,,175,NBF3,-,9.58,9.75,9.58,9.75,9.75,0,0,9.72,"7,300.00",9.72,"70,958.00",16,0.03,0.17,0.31,1.77,0.3,9.88,9.65,10.67,8.35,
,,176,NBL,276.4,6.6,2.45,283.2,283.2,271,"400,533.00",269.8,,176,NBL,-,283.2,283.2,271,276.4,276.4,0,0,277.77,"400,533.00",269.8,"111,255,063.30","1,004",6.6,12.2,2.45,4.5,-0.49,267.42,259.01,302.9,225.4,
